provinsi,kabupaten,kecamatan,ruas_jalan_m,lokasi,jenis_perlengkapan_jalan,koordinat_awal_longtitude,koordinat_awal_latitude,sumber_dana,posisi_jalan,jenis_jalan,jumlah_titik_unit,Kategori_eksisting
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur Kantor desa Krucil, Ds. Krucil",R. Hati Hati,756297,11327637,APBD 2019,SELATAN,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur Kantor desa Krucil, Ds. Krucil",R. Masjid,756391,11327829,APBD 2019,UTARA,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur Kantor desa Krucil, Ds. Krucil",R. Masjid,756441,11327959,APBD 2019,SELATAN,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Masjid Sunan Drajat, Ds. Krucil",PJU Jaringan Langsung PLN (DLH),756246,11327529,,SELATAN,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Timur Kantor desa Krucil, Ds. Krucil",RPPJ,756262,11328171,APBD 2019,UTARA,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Simpang Tiga Sebelum Pasar Krucil, Ds. Krucil",PJU Ornamen Jaringan Langsung PLN (DLH),756262,11328192,,SELATAN,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Simpang Tiga Sebelum Pasar Krucil, Ds. Krucil",R. Tipe T.,756278,11328234,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Utara Pasar Krucil, Ds. Krucil",R. Masjid,756284,11328264,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Utara Pasar Krucil, Ds. Krucil",R. Hati Hati,756284,11328254,APBD 2013,TIMUR,Kabupaten,1,Rusak
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Utara Pasar Krucil, Ds. Krucil",R. Banyak Anak,756300,11328296,APBD 2013,TIMUR,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Pasar Krucil, Ds. Krucil",PJU Jaringan Langsung PLN (DLH),756312,11328333,,BARAT,Kabupaten,1,ilegal
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Pasar Krucil, Ds. Krucil",R. Banyak Anak,793821,11347149,APBD 2013,BARAT,Kabupaten,1,Hilang
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Depan Pasar Krucil, Ds. Krucil",R. Banyak Anak,756319,11328343,APBD 2019,BARAT,Kabupaten,1,Baik
Jawa Timur,Probolinggo,Krucil,Simpang Tiga Betek Krucil - Bremi Pesanggrahan,"Pasar Krucil, Ds. Krucil",PJU Jaringan Langsung PLN,756320,11328355,,TENGAH,Kabupaten,1,ilegal
